title,year,gross_2013,budget_2013,roi,binary,clean_test,imdb,test,budget,domgross,intgross,code,domgross_2013,intgross_2013,period_code,decade_code
21 & Over,2013,67878146,13000000,5.221395846153846,FAIL,notalk,tt1711425,notalk,13000000,25682380,42195766,2013FAIL,25682380,42195766,1,1
Dredd 3D,2012,55078343,45658735,1.2063046205726025,PASS,ok,tt1343727,ok-disagree,45000000,13414714,40868994,2012PASS,13611086,41467257,1,1
12 Years a Slave,2013,211714070,20000000,10.5857035,FAIL,notalk,tt2024544,notalk-disagree,20000000,53107035,158607035,2013FAIL,53107035,158607035,1,1
2 Guns,2013,208105475,61000000,3.4115651639344264,FAIL,notalk,tt1272878,notalk,61000000,75612460,132493015,2013FAIL,75612460,132493015,1,1
42,2013,190040426,40000000,4.75101065,FAIL,men,tt0453562,men,40000000,95020213,95020213,2013FAIL,95020213,95020213,1,1
47 Ronin,2013,184166317,225000000,0.8185169644444444,FAIL,men,tt1335975,men,225000000,38362475,145803842,2013FAIL,38362475,145803842,1,1
A Good Day to Die Hard,2013,371598396,92000000,4.039113,FAIL,notalk,tt1606378,notalk,92000000,67349198,304249198,2013FAIL,67349198,304249198,1,1
About Time,2013,102648667,12000000,8.554055583333334,PASS,ok,tt2194499,ok-disagree,12000000,15323921,87324746,2013PASS,15323921,87324746,1,1
Admission,2013,36014634,13000000,2.7703564615384617,PASS,ok,tt1814621,ok,13000000,18007317,18007317,2013PASS,18007317,18007317,1,1
After Earth,2013,304895295,130000000,2.3453484230769233,FAIL,notalk,tt1815862,notalk,130000000,60522097,244373198,2013FAIL,60522097,244373198,1,1
American Hustle,2013,397915817,40000000,9.947895425,PASS,ok,tt1800241,ok-disagree,40000000,148430908,249484909,2013PASS,148430908,249484909,1,1
August: Osage County,2013,87609748,25000000,3.50438992,PASS,ok,tt1322269,ok,25000000,37304874,50304874,2013PASS,37304874,50304874,1,1
Beautiful Creatures,2013,75392809,50000000,1.50785618,PASS,ok,tt1559547,ok,50000000,19452138,55940671,2013PASS,19452138,55940671,1,1
Blue Jasmine,2013,101793664,18000000,5.6552035555555555,PASS,ok,tt2334873,ok-disagree,18000000,33345833,68447831,2013PASS,33345833,68447831,1,1
Captain Phillips,2013,325879987,55000000,5.925090672727273,FAIL,notalk,tt1535109,notalk,55000000,107136417,218743570,2013FAIL,107136417,218743570,1,1
Carrie,2013,120268278,30000000,4.0089426,PASS,ok,tt1939659,ok,30000000,35266619,85001659,2013PASS,35266619,85001659,1,1
Cloudy with a Chance of Meatballs 2,2013,391365712,78000000,5.017509128205128,FAIL,nowomen,tt1985966,nowomen-disagree,78000000,119640264,271725448,2013FAIL,119640264,271725448,1,1
Despicable Me 2,2013,1338831390,76000000,17.6162025,PASS,ok,tt1690953,ok,76000000,368065385,970766005,2013PASS,368065385,970766005,1,1
Don Jon,2013,50855408,5500000,9.246437818181818,FAIL,dubious,tt2229499,dubious-disagree,5500000,24477704,26377704,2013FAIL,24477704,26377704,1,1
Elysium,2013,379242208,120000000,3.1603517333333335,PASS,ok,tt1535108,ok-disagree,120000000,93050117,286192091,2013PASS,93050117,286192091,1,1
Ender's Game,2013,151474382,110000000,1.3770398363636365,FAIL,men,tt1731141,men,110000000,61737191,89737191,2013FAIL,61737191,89737191,1,1
Epic,2013,375937364,100000000,3.75937364,PASS,ok,tt0848537,ok-disagree,100000000,107518682,268418682,2013PASS,107518682,268418682,1,1
Escape from Planet Earth,2013,123467788,40000000,3.0866947,PASS,ok,tt0765446,ok,40000000,57012977,66454811,2013PASS,57012977,66454811,1,1
Escape Plan,2013,129026206,70000000,1.8432315142857143,FAIL,men,tt1211956,men,70000000,25213103,103813103,2013FAIL,25213103,103813103,1,1
Evil Dead,2013,151641905,17000000,8.920112058823529,PASS,ok,tt1288558,ok-disagree,17000000,54239856,97402049,2013PASS,54239856,97402049,1,1
Fast and Furious 6,2013,1026807972,160000000,6.417549825,PASS,ok,tt1905041,ok-disagree,160000000,238679850,788128122,2013PASS,238679850,788128122,1,1
Frozen,2013,1397600228,150000000,9.317334853333334,PASS,ok,tt2294629,ok,150000000,393050114,1004550114,2013PASS,393050114,1004550114,1,1
G.I. Joe: Retaliation,2013,494446120,140000000,3.531758,PASS,ok,tt1583421,ok-disagree,140000000,122523060,371923060,2013PASS,122523060,371923060,1,1
Gangster Squad,2013,150101806,60000000,2.5016967666666665,FAIL,notalk,tt1321870,notalk,60000000,46000903,104100903,2013FAIL,46000903,104100903,1,1
Gloria,2013,9134986,30000000,0.30449953333333335,PASS,ok,tt2425486,ok,30000000,4167493,4967493,2013PASS,4167493,4967493,1,1
Gravity,2013,980529592,110000000,8.913905381818182,FAIL,nowomen,tt1454468,nowomen-disagree,110000000,271814796,708714796,2013FAIL,271814796,708714796,1,1
Grown Ups 2,2013,380692333,80000000,4.7586541625,FAIL,men,tt2191701,men-disagree,80000000,133668525,247023808,2013FAIL,133668525,247023808,1,1
Hansel & Gretel: Witch Hunters,2013,281406950,50000000,5.628139,PASS,ok,tt1428538,ok,50000000,55703475,225703475,2013PASS,55703475,225703475,1,1
Her,2013,58029891,23000000,2.5230387391304347,FAIL,men,tt1798709,men-disagree,23000000,25000178,33029713,2013FAIL,25000178,33029713,1,1
Identity Thief,2013,310776641,35000000,8.8793326,FAIL,men,tt2024432,men-disagree,35000000,134506920,176269721,2013FAIL,134506920,176269721,1,1
Insidious: Chapter 2,2013,245497669,5000000,49.0995338,FAIL,men,tt2226417,men,5000000,83586447,161911222,2013FAIL,83586447,161911222,1,1
Iron Man 3,2013,1621684544,200000000,8.10842272,FAIL,dubious,tt1300854,dubious-disagree,200000000,408992272,1212692272,2013FAIL,408992272,1212692272,1,1
Jack the Giant Slayer,2013,262575206,195000000,1.3465395179487178,FAIL,nowomen,tt1351685,nowomen-disagree,195000000,65187603,197387603,2013FAIL,65187603,197387603,1,1
Kick-Ass 2,2013,89635182,28000000,3.2012565,PASS,ok,tt1650554,ok,28000000,28795985,60839197,2013PASS,28795985,60839197,1,1
